uid,master_seed,data_type,num_trials,dataset_size,uncertain_ratio,interval_size_range,mult_size_range,num_intervals,gap_size,interval_width,num_intervals_range,gap_size_range,interval_width_range,reduce_triggerSz_sizeLim,independent_variable,min_time_mean,min_time_std,max_time_mean,max_time_std,sum_time_mean,sum_time_std,sumtest_time_mean,sumtest_time_std,reduce_calls_mean,max_interval_count_mean,total_interval_count_mean,combine_calls_mean,result_size_mean,result_coverage_mean
t_s_iv_n_9012b26b31,2273135745,set,5,2000,0.0,"(1, 4000)","(1, 5)",4,,,,"(250, 500)","(2, 15)","(3, 1)",dataset_size,3.1145999999999994,0.06346526609098872,3.7050000000000005,0.08532057196245227,1.8672,0.03716127016128488,1.9442,0.057408710140535224,1999.0,16.0,8012.0,2000.0,1.0,2312864.4
t_s_iv_n_37ab777765,2273135745,set,5,4000,0.0,"(1, 4000)","(1, 5)",4,,,,"(250, 500)","(2, 15)","(3, 1)",dataset_size,5.8576,0.14386882914655283,7.5588,0.16351317989691222,3.6629999999999994,0.03781005157362265,3.7384,0.09779488739192857,3999.0,16.0,16012.0,4000.0,1.0,4621522.6
t_s_iv_n_b9ca835fe8,2273135745,set,5,6000,0.0,"(1, 4000)","(1, 5)",4,,,,"(250, 500)","(2, 15)","(3, 1)",dataset_size,8.5966,0.11677602493662781,11.6326,0.8699251921860872,5.4682,0.02393658288060348,5.7326,0.13534637047220727,5999.0,16.0,24012.0,6000.0,1.0,6933399.4
t_s_iv_n_8fdd69adff,2273135745,set,5,8000,0.0,"(1, 4000)","(1, 5)",4,,,,"(250, 500)","(2, 15)","(3, 1)",dataset_size,11.474,0.33839267131544104,15.195400000000001,0.5854371358224556,7.5944,0.43381590565584394,7.8172,0.28496273440574654,7999.0,16.0,32012.0,8000.0,1.0,9240370.4
t_s_iv_n_c48a8748af,2273135745,set,5,10000,0.0,"(1, 4000)","(1, 5)",4,,,,"(250, 500)","(2, 15)","(3, 1)",dataset_size,14.3342,0.37870273302420193,18.7902,0.3358793831124497,9.3188,0.151838598518295,9.515200000000002,0.21696027286118572,9999.0,16.0,40012.0,10000.0,1.0,11550777.8
t_s_iv_n_9667e3da4e,2273135745,set,5,12000,0.0,"(1, 4000)","(1, 5)",4,,,,"(250, 500)","(2, 15)","(3, 1)",dataset_size,16.9496,0.4084901957207784,22.232799999999997,0.29424098966663403,11.0328,0.11948121191216628,11.2922,0.09677272342969354,11999.0,16.0,48012.0,12000.0,1.0,13862638.6
t_s_iv_n_b20cac7032,2273135745,set,5,14000,0.0,"(1, 4000)","(1, 5)",4,,,,"(250, 500)","(2, 15)","(3, 1)",dataset_size,19.5402,0.3448439647144778,26.041800000000002,0.8678353300021847,12.810399999999998,0.052826508497155276,13.1056,0.06141856396888487,13999.0,16.0,56012.0,14000.0,1.0,16176902.2
t_s_iv_n_c569ee771d,2273135745,set,5,16000,0.0,"(1, 4000)","(1, 5)",4,,,,"(250, 500)","(2, 15)","(3, 1)",dataset_size,22.3804,0.30698247506983234,29.2558,0.25695322531542647,14.941399999999998,0.20418187970532573,15.137200000000002,0.35097715025340337,15999.0,16.0,64012.0,16000.0,1.0,18489077.0
t_s_iv_n_924a12b6ef,2273135745,set,5,18000,0.0,"(1, 4000)","(1, 5)",4,,,,"(250, 500)","(2, 15)","(3, 1)",dataset_size,24.813,0.3497490528936428,32.736599999999996,0.7014483872673737,16.6522,0.06907792701000762,16.7834,0.23940476185740323,17999.0,16.0,72012.0,18000.0,1.0,20797173.6
t_s_iv_n_03fc5b2cb6,2273135745,set,5,20000,0.0,"(1, 4000)","(1, 5)",4,,,,"(250, 500)","(2, 15)","(3, 1)",dataset_size,28.0166,0.5156314963227123,36.17280000000001,0.6250566054366598,19.0798,0.687360865921242,18.6726,0.46591398347763774,19999.0,16.0,80012.0,20000.0,1.0,23104963.2
t_s_iv_n_20f03bc70d,2273135745,set,5,22000,0.0,"(1, 4000)","(1, 5)",4,,,,"(250, 500)","(2, 15)","(3, 1)",dataset_size,30.510199999999998,1.296855180812414,40.463800000000006,2.0454798361264794,21.0824,1.0291628831239497,21.3624,1.5074466624063347,21999.0,16.0,88012.0,22000.0,1.0,25415272.0
t_s_iv_n_cc5d0dc5ed,2273135745,set,5,24000,0.0,"(1, 4000)","(1, 5)",4,,,,"(250, 500)","(2, 15)","(3, 1)",dataset_size,31.5622,0.4678569866957221,41.514399999999995,0.39969068040173206,21.7036,0.1762266722150767,21.2626,0.3348471890280706,23999.0,16.0,96012.0,24000.0,1.0,27728175.8
t_s_iv_n_fb25163003,2273135745,set,5,26000,0.0,"(1, 4000)","(1, 5)",4,,,,"(250, 500)","(2, 15)","(3, 1)",dataset_size,37.1734,5.381348738002399,47.444,2.4408209274750177,24.6098,2.570563004479758,23.4812,0.31106680954418686,25999.0,16.0,104012.0,26000.0,1.0,30038737.4
t_s_iv_n_d639eccfea,2273135745,set,5,28000,0.0,"(1, 4000)","(1, 5)",4,,,,"(250, 500)","(2, 15)","(3, 1)",dataset_size,38.5758,2.1571273861318443,51.1682,1.0655003331768598,25.299600000000005,0.4527143028445204,26.2796,0.7986565219166493,27999.0,16.0,112012.0,28000.0,1.0,32349090.8
t_s_iv_n_d7281bbd79,2273135745,set,5,30000,0.0,"(1, 4000)","(1, 5)",4,,,,"(250, 500)","(2, 15)","(3, 1)",dataset_size,39.5366,1.194703076082087,52.494600000000005,1.7260197681370875,27.130199999999995,0.5764399014641508,38.299,22.978015928273702,29999.0,16.0,120012.0,30000.0,1.0,34661172.0
t_s_iv_n_31c3d52324,2273135745,set,5,32000,0.0,"(1, 4000)","(1, 5)",4,,,,"(250, 500)","(2, 15)","(3, 1)",dataset_size,44.444,2.4253955553682367,66.5962,10.987916242855148,30.084600000000002,1.0727289685656851,30.877999999999997,1.9746308009346953,31999.0,16.0,128012.0,32000.0,1.0,36975234.6
t_s_iv_n_1828057476,2273135745,set,5,34000,0.0,"(1, 4000)","(1, 5)",4,,,,"(250, 500)","(2, 15)","(3, 1)",dataset_size,46.068400000000004,0.7120518520444992,60.8858,1.203611964048215,31.513800000000003,0.7599719468506716,31.090600000000002,0.3925967906134747,33999.0,16.0,136012.0,34000.0,1.0,39282359.2
t_s_iv_n_1f289b4f7b,2273135745,set,5,36000,0.0,"(1, 4000)","(1, 5)",4,,,,"(250, 500)","(2, 15)","(3, 1)",dataset_size,48.06,1.250136152584989,63.1048,1.1640002405498038,33.680600000000005,2.289672780115097,33.4664,1.9002713069454054,35999.0,16.0,144012.0,36000.0,1.0,41597429.2
t_s_iv_n_656b8bf914,2273135745,set,5,38000,0.0,"(1, 4000)","(1, 5)",4,,,,"(250, 500)","(2, 15)","(3, 1)",dataset_size,52.1346,2.6442529077227093,68.2322,1.6843662784560882,36.1484,3.3956488982225475,36.2598,2.788831109981386,37999.0,16.0,152012.0,38000.0,1.0,43906786.0
t_s_iv_n_190f2f94d0,2273135745,set,5,40000,0.0,"(1, 4000)","(1, 5)",4,,,,"(250, 500)","(2, 15)","(3, 1)",dataset_size,53.330600000000004,1.306599341802987,70.44919999999999,1.615120230818747,36.6564,0.5228520249554347,36.406000000000006,0.7279065874135219,39999.0,16.0,160012.0,40000.0,1.0,46218344.0
